willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,To be socially connected to community ,Yes,Great opportunity ,May be by more promotion ,No
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,To be connected to community is very much important than talking more about problem ,Yes,Great,By more promotion ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,"This conference thought me education is not only reading what is in the book but also understanding the feelings of people’s around us.
",Yes,Its was More informative and exciting.,No suggestion everything was great!!,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Community ,Community ,Good,It was perfect ,Nothing much
"Yes, I am happy to participate in this survey",,,"Educator, Student",Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Motivation to get involved in social actions,Yes.,I couldn’t meet many,More NGOs could take part in it,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Not applicable,Neutral,Strongly agree,Neutral,Agree,Agree,"I was inspired by the panelists to get involved in my community (help educate,  complete tasks, provide related services, etc.)","Yes it has. Since our NCC encourages community service, I  feel like we as today's youth and the future of the nation would be able to bring about changes that will only materialize with education, especially in masses. ",A lot of insights were gained about how necessary and crucial education and it's propaganda is. ,Use of more audio visuals. ,Nothing else. 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,To understand the importance of education and its impact on how it can change one's life ,"Yes, I have been interested in community service from quite some time this conference inspired to be more engaged with the service ",It was extremely delightful to hear their inspirational stories,"It was sad that we couldn't attend all the panel discussions, so maybe increase the duration of conference and provide a chance to attend all the different discussions",Nothing as such 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,We should try to involve ourselves with the communities around us,"Yes, and specially after Gary, one of the panelists talked of his community work, it really encouraged me to be also out there for others ",I got to meet new people and learn new perspectives,.,.
"Yes, I am happy to participate in this survey",,,PhD Scholar,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Recognition and celebration of diverse cultures and perspectives within educational settings must be more encouraged,Yes,I got opportunity to speak to some of the participants and that had given me new insights,It would have been more inclusive if virtual participation or live streaming was offered,NIL
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,"One must give back to the community, if possible, more than he/she owes.",Saw how community service can bring more meaning to life.,Great!,...,"Not really, the conference was well-rounded."
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,We are motivated by the sharing especially Ms Hope ,"Yes, ",Good ,As of now all good ,Everything was perfect 
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Tt he joy that community service brings,Yes. The experiences shared ,Gaining insights into carious fields,It was really good ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Neutral,Not applicable,Not applicable,Not applicable,Agree,Agree,Agree,Agree,-,Yes,Great,-,None
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,My imagination for how a education system be. According to my point of view,Yeaa.. It has.. ,It was good.. I really got a quick friend.. ,I guess it was perfectly finee.. But last way become a little born.. But never mind.. It was good.. No improvement its prefect for me,Yes. I think it is a very useful thing all are doing.. I appreciate
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,I found it an insightful conference and well organized ,"Neutral, it hasn't inspired me but hasn't done the opposite either","It was a good networking opportunity, spoke to a few people",Not much improvement required in my opinion ,None 
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Consistency and motivation ,By taking inspiration from speeches and plays which were shown,Great ,I couldn't find any criticism ,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Got an overall idea on how we lack in policy implementation,Yes. It provided me an insight into the policy making and its application in the society.,It was a new experience for me.,This conference is at its good standards.,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Good session ,Yes..by learning many ways in today's session ,Nothing,Nothing to improve ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",. ,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,That in each and every step there there are different type perspective against education. ,yes.as not much interested in studying but now also showing more interest in the personal thing and they way the people spoke about there experience is much enough to be motivated,"since there was a interactive session and being physical and mentally present throughout the conference and meet a lot new people from other states course and school
",As it was good and keep continuing the show. ,no
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Be more committed to service ,Yes it has. Because I believe in service before self,Fun and knowledgeable,More experiences by panelist,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Implementation is more important than planning ,Yes,Not happened ,I have no suggestion ,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,"Education is a tool of change in society.
 We need a sustainable model of education. 
","Absolutely yes, The conference was in some way a guide to how exactly I should see education system. I was inspired by how each people share their knowledge to the community and how fruitful was the education they received. So if I am able to share my experience and knowledge to my society and if it can make changes to atleast some, I would consider that as my greatest achievement of my life. Because sharing knowledge is the greatest and humblest quality in my opinion.","The best part of the conference was the people I met through the conference. Even though I met few people, they were very fruitful.",The conference was altogether useful and engaging for me. From my part the conference was fruitful.,I would like to convey my heartful gratitude to all the panels who spoke there and spare their valuable time and knowledge to us. I wish all their coming intiatives be a successful and fruitful.
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,"By attending the Re-Imagining Global Education Policies, Reforms and Innovations panel discussion, two important takeaways of mine are: 
1. As an educator, the four main things to implement are see, feel, imagine, think and do
2. The education system should be framed in a way which brings out the individual talents of young generation as per their interest ",Yes,"I had a very good experience by listening to various thoughts and perspectives of panelists of the Re-Imagining Global Education Policies, Reforms and Innovations panel discussion ",I felt that the conference has been well organized and was satisfying ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Get involved in the community ,Yes ,Good ,…,No 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,"I really got motivated,and i understood that i hav to be a who iam and not changing myself for others ",I got motivated nd confidence by listening to others,Fun,It wss all good ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,It has made me rethink a lot of crucial things in education.,"Yes, still processing it.",It was really enriching.,As it is happening simultaneously I missed out on a session I wanted to attend.,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",It is good motivated,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Focus education for better society ,Yes ,Good,Update ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Nice presentation ,Committed social being,More interaction space ,Everything perfect,It’s fine 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I am enriched,To work for the upliftment of the downtrodden ,Enriching,Everything was good,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"It was a good experience, got to network with many great people ",Yes,Good,Betterment in co-ordination,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Education plays a huge role in a person's personality and character,Yes,Good,.,.
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,I learnt a lot about different perspectives.,Yes it has. I will work more hard for my community,It was a great experience.,More time can be given.,It was an amazing meet
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,How a storytelling and basic activities can change the life of children around us.,"I have got insite of parenting, students and all","Could connect to a lot of people across the globe, with diverse professions, ",It is good ,No
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The contribution we can make in society as an educator,Yes by sharing all I can,It was an excellent networking,All is well,None
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-,-,-,-,-
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,How to get connect with other community to work more,"Yes ,by the talk given by the speaker",It was really good,I felt it was good and only putting the venu in the poster would make the people to reach to the respective places before time,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",Student volunteer ,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Networking ,Self confidence ,Energetic ,By giving some break ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,"Get involved with the community, follow your dream and help make it an inclusive society ",Yes definitely ,"I didn't get a chance to many today, but I will definitely do it tomorrow ",Better refreshments ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Talks,Practical suggestions ,Good ,No suggestion ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,"That if anything u willing to do , do it will full passion and hardwork and hardwork pays off :)","Yes, as it was an great opportunity to leverage my skills",It was fabulous ,It was really good and I don't think there is any mistakes ,No
"Yes, I am happy to participate in this survey",,,"Student, Volunteer",Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Agree,Too long to type..??,Yes,Good,Everything was good,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,That i must involve myself more into activities in my community ,Yes,It was motivating ,Nil,No
"Yes, I am happy to participate in this survey",,,Volunteer ,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,The struggles are universal but we must all come together to solve it. ,"Yes, the stories of the panelists and change makers has definitely started a thinking process.",It is great to see how the entire world can unite to solve issues and be part of something good.,No comments.,NO
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,"It was an amazing overall learning experience, a one of a kind opportunity. ",Yes. Hearing the stories of the speakers made me understand the importance of individual action in collective change. ,"It was a bit intimidating at first due to a lot of cultural and language differences, but i got to meet and interact with a lot of people. ",Making the panel discussions a bit longer. ,No. 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,.,"Yes, the conference has given me a new insight of the society and how does it work, how one should without any profit of their own help the society.",It was great to listen to them and their motivational stories.,I felt it was a little chaotic before beginning but overall was managed really well.,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Find someone you haven't met before
Learn about their dream 
Connect with them
Emotional intelligence 
Hope ma'am

Storry telling 
Dianne ma'am 
I can be my own person on the page 
Themes together 
Movement
Words hurt 
Sylvia plath 
","Yes, it has made me realise that my contribution also matters alot. ",I got meet lots of like minded individuals and connect with them.,Tech facilities can be improved a little ,Overall the confrence was great. 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,That new education policies need to be implemented in nations like India as soon as they are passed.,Through the representatives dedicated approach to being about a change in the educational field ,Fruitful ,-,nil
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Always be there for your people and do your best to benefit them and yourself.,"Yes, the great keynotes brought by the panelists have made me think about my lifestyle and how I can work more better to improve it.","Great experience, got to know so much and what areas to work on.",Nil ,Nil
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,About policies and making new friends and contacts ,I am in a way socially responsible and committed but wouldn't completely agree to what I say,iI was an amazing experience. I feel great to be one of the participants who got to witness the event. ,If the speakers didn't use many jargons,none
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Education insights ,"Yes, a little .",It wa a good ,It was good though ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,opened my eyes to the reality of the education system and the difficulties faced and how we could implement strategies to discard them.,yes,good,more quality content than quantity,-
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Amazing session and insights. How the world and realms of education are changing throughout and how can we flow with the changes.,To an greater extent yes. It helped me become more responsible and motivated and also provided better insights.,Greater experiences and learning ,More organised and outdoor activities to be scheduled.,-
"Yes, I am happy to participate in this survey",,,Community Social Service Provider/NGO,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,"Community upliftment is necessary for a sustainable future. It is important to dream with a desire to ensure empowerment, action and mastery through connection with one's own community","Yes, the story of Dayne on how her upbringing contributed to her commitment to society and Hope's story on Deborah's battle against cancer inspired that it is okay, to begin with tiny steps but it is important to dream big.",It was a great opportunity to interact with the delegates of the conferences and also to learn about the different communities and the challenges they face,It has been organised and conducted in the best way. No comments,Nil
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Inspired,Yes,Great,Efforts,Nope
"Yes, I am happy to participate in this survey",,,Student,Planning to help disabled people's so that they can also dream ,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,There will be ups and downs but hearing ms sneha arunkumar story I am just motivated to help those people who are disabled and also the other speaker like moderator and other delegates it was very informative to attend. I learned about there is an HBFC in newyork for promoting black people's to engage in activities. I learned lot of things thankyou letus dream for this opportunity ,"Yes, as I said the delegates was very much potential people's and got new idea about what the people wants how should be the education sector organised for disabled students and also what are things to be taken care while looking forward for making the dream full fill and especially hopes intro about dreams really inspired ",I didn't get that much opportunity to network then also I m trying my level best to network with them ,The conference is already good but people's are lost in the campus so if there are more volunteers who can lead the ways it would be good,Thankyou for the opportunity to participate in this conference and I am glad that I registered for this 
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Helped me to re think about the education ,Yes,Great!,"It was good, no extra improvements needed",Nope
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Empowering education for all....irrespective of their abilities or disabilities.,"Yes, I've been motivated to be socially committed and responsible....whn there is responsibility given we tend to become committed to it automatically until it's reached it's goal..",Enlightening ,Increase in hospitality ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,More strongly committed to my specific community service organization,-,-,-,-
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To engage my purpose in all that I do so as to experience life meaningfully.,"Yes, orienting myself better and providing greater connections to work with.",Great,"It's great already. Perhaps, we could open up to more themes and larger perspectives.",Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations","Did not, but I think this conference gave an insight for me both as a person and as a student ",Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,It really influenced me what khushboo ma'am said about the government not being the oppressors when it comes to policy making and make me think about how a thought as such can make a huge difference in how one views their community. ,I realised that systemic changes happen in the minds first and then in practice so sessions like these can really cater to people who are unaware and willing to learn,During the interactive session I had spoken to an entrepreneur and and educational scholar. The activity was a bliss. It made me think for a moment and realise that we are all merely parts of the system working towards holistic betterment ,The conference was held so well but one background detail I'd like to point out was that a little more consideration could have been given to the dreams volunteers considering the amount of work they did when it came to refreshments lunch and their personal needs. ,I think I have covered everything 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,It opened new perspectives and helped gain understanding of a greater cause. ,No,Very inclusive people and kind,More lectures,No. 
